Country,Powerplant_Name,gppd_idnr,Capacity_MW,Latitude,Longitude,PrimaryFuel,Owner,Source
Argentina,AGUA DEL CAJON AUTOGENERADOR DEL MEM,ARG0000231,479.2,-38.9368,-68.3556,Other,CAPEX SA,Ministerio de Energia y Minas
Argentina,AGUA DEL CAJON GENERADOR DEL MEM,ARG0000232,192,-38.9368,-68.3556,Gas,CAPEX SA,Ministerio de Energia y Minas
Argentina,AGUA DEL TORO,ARG0000210,130,-34.5792,-68.9892,Hydro,HIDISA,Ministerio de Energia y Minas
Argentina,ALICURA,ARG0000230,1050,-40.58,-70.7489,Hydro,AES ARGENTINA GENERACION S.A.,Ministerio de Energia y Minas
Argentina,ALMIRANTE BROWN,ARG0000156,25,-34.8386,-58.4033,Oil,C.T. ALMIRANTE BROWN SA,Ministerio de Energia y Minas
Argentina,ALTO VALLE,ARG0000235,97.5,-34.8386,-68.0218,Gas,CT ALTO VALLE SA,Ministerio de Energia y Minas
Argentina,ALUMINE,ARG0000242,1.904,-34.8386,-70.9157,Oil,EPEN,Ministerio de Energia y Minas
Argentina,ALVAREZ CONDARCO,ARG0000194,50.7,-34.8386,-69.0516,Hydro,CEMPPSA - HIDROCUYO SA,Ministerio de Energia y Minas
Argentina,ARROYITO,ARG0000254,128,-34.8386,-68.5982,Hydro,H. EL CHOCON SA,Ministerio de Energia y Minas
Argentina,ATUCHA I,ARG0000029,370,-34.8386,-59.2059,Nuclear,NASA,Ministerio de Energia y Minas
Argentina,ATUCHA II,ARG0000030,745,-34.8386,-59.2045,Nuclear,NASA,Ministerio de Energia y Minas
Argentina,BANDERA,ARG0000328,31,-34.8386,-64.7847,Oil,ENARSA,Ministerio de Energia y Minas
Argentina,BARILOCHE PUERTO  MORENO,ARG0000266,5.736,-34.8386,-71.4167,Oil,COOPERATIVA DE ELECTRICIDAD BARILOCHE LTDA,Ministerio de Energia y Minas
Argentina,BENJAMIN REOLIN,ARG0000085,38.4,-34.8386,-64.3233,Hydro,EPEC,Ministerio de Energia y Minas
Argentina,BERNARDO  DE IRIGOYEN,ARG0000220,2.096,-34.8386,-53.6469,Oil,EMSA,Ministerio de Energia y Minas
Argentina,C.T. RUFINO,ARG0000310,31.9,-34.8386,-62.7107,Oil,ENARSA,Ministerio de Energia y Minas
Argentina,C.T. SAN VICENTE,ARG0000159,27.6,-34.8386,-58.4237,Oil,ENARSA,Ministerio de Energia y Minas
Argentina,CAA CATI,ARG0000116,1.415,-34.8386,-57.6205,Oil,DPEC,Ministerio de Energia y Minas
Argentina,CABRA CORRAL,ARG0000275,102,-34.8386,-65.3298,Hydro,AES ARGENTINA GENERACION S.A.,Ministerio de Energia y Minas
Argentina,CACHEUTA NUEVA,ARG0000195,120,-34.8386,-69.1109,Hydro,CEMPPSA - HIDROCUYO SA,Ministerio de Energia y Minas
Argentina,CACHI,ARG0000277,1.07,-34.8386,-66.2106,Oil,AES ARGENTINA GENERACION S.A.,Ministerio de Energia y Minas
Argentina,CAFAYATE,ARG0000278,4.182,-34.8386,-65.9876,Oil,AES ARGENTINA GENERACION S.A.,Ministerio de Energia y Minas
Argentina,CAPITAL CATAMARCA - PREDIO CHOYA,ARG0000048,5.728,-34.8386,-65.7841,Oil,ENDESA COSTANERA,Ministerio de Energia y Minas
Argentina,CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG0000049,7.075,-34.8386,-65.7872,Oil,ENDESA COSTANERA,Ministerio de Energia y Minas
Argentina,CAPITAL CATAMARCA - PREDIO RIPIERA,ARG0000050,4.675,-34.8386,-65.7797,Oil,ENDESA COSTANERA,Ministerio de Energia y Minas
Argentina,CASA DE PIEDRA,ARG0000183,60,-34.8386,-67.1908,Hydro,ENTE CASA DE PIEDRA,Ministerio de Energia y Minas
Argentina,CASSAFFOUSTH,ARG0000086,17.28,-34.8386,-64.2006,Hydro,EPEC,Ministerio de Energia y Minas
Argentina,CENTRAL BAHIA BLANCA PIEDRA BUENA SA,ARG0000031,620,-34.8386,-62.2536,Coal,PAMPA ENERGIA,Ministerio de Energia y Minas
Argentina,CENTRAL LOMA DE LA LATA SA,ARG0000259,540,-34.8386,-68.6048,Gas,PAMPA ENERGIA,Ministerio de Energia y Minas
Argentina,CENTRAL PARQUE INDUSTRIAL LA BANDA,ARG0000319,11.228,-34.8386,-67.9463,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CENTRAL T.GENELBA,ARG0000165,673.6,-34.8386,-58.7334,Gas,PETROBRAS ENERGIA,Ministerio de Energia y Minas
Argentina,CENTRAL T.GENELBA PLUS,ARG0000166,164.55,-34.8386,-58.7334,Gas,PETROBRAS ENERGIA,Ministerio de Energia y Minas
Argentina,CENTRAL TERMICA BRIGADIER LOPEZ ENARSA,ARG0000311,280,-34.8386,-60.7811,Gas,ENARSA,Ministerio de Energia y Minas
Argentina,CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG0000274,643,-34.8386,-65.0513,Gas,AES - TERMOANDES SA,Ministerio de Energia y Minas
Argentina,CENTRAL TERMICA GÜEMES SA,ARG0000287,361,-34.8386,-65.0425,Coal,PAMPA ENERGIA,Ministerio de Energia y Minas
Argentina,CENTRAL TERMICA LA BANDA,ARG0000330,32,-34.8386,-64.2655,Gas,GENERACION LA BANDA S.A. GRUPO ALBANESI ,Ministerio de Energia y Minas
Argentina,CENTRAL TERMICA PIQUIRENDA SA,ARG0000284,30.44,-34.8386,-63.7664,Oil,EMDERSA GENERACION SALTA SA - PAMPA ENERGIA,Ministerio de Energia y Minas
Argentina,CENTRAL TERMICA REMEDIOS DE ESCALADA,ARG0000155,25,-34.8386,-58.3881,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG0000042,524,-34.8386,-58.5438,Gas,TERMOELECTRICA GUILLERMO BROWN,Ministerio de Energia y Minas
Argentina,CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG0000043,868.2,-34.8386,-65.0425,Gas,TERMOELECTRICA MANUEL BELGRANO SA TMB,Ministerio de Energia y Minas
Argentina,CENTRAL TERMOELECTRICA TIMBUES,ARG0000307,865.14,-34.8386,-60.791,Gas,CENTRAL TERMOELECTRICA JOSE DE SAN MARTIN TSM,Ministerio de Energia y Minas
Argentina,CH LOS CARACOLES,ARG0000296,121.4,-34.8386,-68.9814,Hydro,EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO,Ministerio de Energia y Minas
Argentina,CHILECITO,ARG0000185,5,-34.8386,-67.5069,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CHIMBERA 1,ARG0000295,2,-34.8386,-68.5402,Solar,ENARSA,Ministerio de Energia y Minas
Argentina,CIPOLLETTI,ARG0000267,5.78,-34.8386,-67.9427,Hydro,DPA RIO NEGRO,Ministerio de Energia y Minas
Argentina,COMANDANTE ANDRESITO,ARG0000221,2.372,-34.8386,-54.0419,Oil,EMSA,Ministerio de Energia y Minas
Argentina,COMODORO RIVADAVIA,ARG0000072,141.02,-34.8386,-54.6278,Gas,CT PATAGONICAS SA,Ministerio de Energia y Minas
Argentina,COMODORO RIVADAVIA - ANTONIO MORAN,ARG0000067,16.56,-34.8386,-67.4964,Wind,COOPERATIVA,Ministerio de Energia y Minas
Argentina,CORRIENTES,ARG0000117,1.4,-34.8386,-58.8042,Oil,DPEC,Ministerio de Energia y Minas
Argentina,COSTANERA,ARG0000046,1982.2,-34.8386,-58.3393,Coal,ENDESA COSTANERA,Ministerio de Energia y Minas
Argentina,CRUZ DE PIEDRA,ARG0000197,17.94,-34.8386,-68.7971,Gas,CT MENDOZA SA,Ministerio de Energia y Minas
Argentina,CRUZ DEL EJE,ARG0000087,5.052,-34.8386,-64.7538,Oil,EPEC,Ministerio de Energia y Minas
Argentina,CT 13 DE JULIO,ARG0000110,26,-34.8386,-64.1537,Gas,GECOR  GENERADORA CORDOBA SA,Ministerio de Energia y Minas
Argentina,CT ALEM,ARG0000217,15,-34.8386,-65.2298,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT ALUMINE,ARG0000256,6.3,-34.8386,-70.5753,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT ARISTOBULO DEL VALLE,ARG0000229,15,-34.8386,-54.8625,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT ARRECIFES,ARG0000003,20,-34.8386,-60.1297,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT AÑATUYA,ARG0000333,19.2,-34.8386,-62.8569,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT AÑATUYA II,ARG0000334,11.5,-34.8386,-62.8569,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT BARILOCHE,ARG0000273,20,-34.8386,-71.2633,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT BELL VILLE,ARG0000113,15.62,-34.8386,-62.6864,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT BRAGADO,ARG0000023,49.8,-34.8386,-60.4311,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT CAPITAN SARMIENTO,ARG0000028,5,-34.8386,-59.7683,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT CATAMARCA,ARG0000054,19.2,-34.8386,-65.7647,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT CAVIAHUE,ARG0000257,5,-34.8386,-70.6136,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT CERES,ARG0000314,18,-34.8386,-61.9297,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT CHARATA,ARG0000065,19.4,-34.8386,-61.1939,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT CHILECITO,ARG0000189,10,-34.8386,-67.5072,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT CIPOLLETTI,ARG0000260,5,-34.8386,-67.9414,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT COLON BUENOS AIRES,ARG0000039,15.3,-34.8386,-61.0769,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT CONCEPCION DEL URUGUAY,ARG0000147,41.78,-34.8386,-58.2672,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT CORRIENTES,ARG0000114,20,-34.8386,-58.8042,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT ECOENERGIA PETROBRAS,ARG0000032,13.2,-34.8386,-62.3961,Coal,PETROBRAS ARGENTINA S.A.,Ministerio de Energia y Minas
Argentina,CT ENSENADA DE BARRAGAN,ARG0000160,567,-34.8386,-57.9557,Gas,ENARSA,Ministerio de Energia y Minas
Argentina,CT ESQUINA,ARG0000139,16.5,-34.8386,-59.5294,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT FORMOSA II,ARG0000149,30,-34.8386,-58.2094,Oil,APR ENERGY SRL,Ministerio de Energia y Minas
Argentina,CT GENERAL VILLEGAS,ARG0000004,23.49,-34.8386,-62.9981,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT GOYA,ARG0000138,13,-34.8386,-59.2728,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT INDEPENDENCIA,ARG0000336,120,-34.8386,-65.2247,Gas,GENERACION INDEPENDENCIA SA,Ministerio de Energia y Minas
Argentina,CT INGENIERO JUAREZ,ARG0000152,4,-34.8386,-61.8342,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT INTA CATAMARCA,ARG0000055,7.04,-34.8386,-65.7275,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT ISLA VERDE,ARG0000083,24.5,-34.8386,-62.395,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT JUAN JOSE CASTELLI,ARG0000059,15,-34.8386,-60.6204,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT JUNIN,ARG0000035,22,-34.8386,-60.9161,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT LA PLATA,ARG0000040,40.4,-34.8386,-58.016,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT LA RIOJA DELIVERY,ARG0000190,19.2,-34.8386,-66.8325,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT LA RIOJA SUR,ARG0000191,10,-34.8386,-66.8319,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT LAGUNA BLANCA,ARG0000153,7,-34.8386,-58.2597,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT LAS ARMAS,ARG0000024,10.4,-34.8386,-57.8181,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT LAS ARMAS II,ARG0000025,23.37,-34.8386,-57.8181,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT LAS PALMAS,ARG0000066,6,-34.8386,-58.6997,Oil,TURBODISEL SA,Ministerio de Energia y Minas
Argentina,CT LIBERTADOR GENERAL SAN MARTIN,ARG0000170,15,-34.8386,-68.0869,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT LINCOLN,ARG0000036,15.002,-34.8386,-61.5206,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT LOBOS,ARG0000041,15.686,-34.8386,-59.0808,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT MAGDALENA,ARG0000005,25,-34.8386,-57.4839,Oil,APR ENERGY SRL,Ministerio de Energia y Minas
Argentina,CT MATHEU,ARG0000163,41,-34.8386,-58.8372,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT MEDANITOS RINCON DE LOS SAUCES,ARG0000258,32,-34.8386,-68.9,Oil,MEDANITO SA,Ministerio de Energia y Minas
Argentina,CT MIRAMAR I,ARG0000022,20,-34.8386,-57.8242,Oil,ENERGYST RENTAL SOLUTIONS ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT OLAVARRIA,ARG0000026,38.8,-34.8386,-60.2361,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT ORAN,ARG0000286,15,-34.8386,-64.3069,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT PARANA,ARG0000148,40,-34.8386,-60.4553,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT PARQUE INDUSTRIAL CATAMARCA,ARG0000056,15,-34.8386,-65.7997,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT PASO DE LA PATRIA,ARG0000141,7.2,-34.8386,-58.5667,Oil,TURBODISEL SA,Ministerio de Energia y Minas
Argentina,CT PEHUAJO,ARG0000037,22.4,-34.8386,-61.8758,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT PINAMAR,ARG0000027,21,-34.8386,-56.8789,Gas,GENNEIA SA,Ministerio de Energia y Minas
Argentina,CT PIRANE,ARG0000154,16.25,-34.8386,-59.0756,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT PLUSPETROL NORTE,ARG0000337,246,-34.8386,-65.166,Gas,GENERADORA ELÉCTRICA TUCUMÁN SA,Ministerio de Energia y Minas
Argentina,CT RAFAELA,ARG0000315,19.2,-34.8386,-61.5203,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT REALICO,ARG0000184,24,-34.8386,-64.2406,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT ROCA,ARG0000262,130,-34.8386,-60.0106,Gas,CENTRAL TERMICA ROCA S.A.- ALBANESI S.A,Ministerio de Energia y Minas
Argentina,CT SAENZ PEÑA  I,ARG0000062,20,-34.8386,-60.4114,Oil,APR ENERGY SRL,Ministerio de Energia y Minas
Argentina,CT SAENZ PEÑA  II,ARG0000060,15,-34.8386,-60.4125,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT SALTO,ARG0000038,22.5,-34.8386,-65.6055,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT SAN MARTIN NORTE III,ARG0000161,5.1,-34.8386,-58.6206,Oil,ENARSA,Ministerio de Energia y Minas
Argentina,CT SAN MIGUEL DE TUCUMAN,ARG0000341,396.62,-34.8386,-65.166,Gas,YPF ENERGIA ELECTRICA S.A.,Ministerio de Energia y Minas
Argentina,CT SAN MIGUEL NORTE III,ARG0000162,11.5,-34.8386,-58.6206,Oil,ENARSA,Ministerio de Energia y Minas
Argentina,CT SANTA ROSA,ARG0000142,6,-34.8386,-58.0006,Oil,TURBODISEL SA,Ministerio de Energia y Minas
Argentina,CT TARTAGAL,ARG0000288,10,-34.8386,-63.8056,Oil,SOENERGY ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT TEREVINTOS,ARG0000057,8,-34.8386,-65.7878,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT TINOGASTA,ARG0000058,15,-34.8386,-67.5667,Oil,SULLAIR ARGENTINA SA,Ministerio de Energia y Minas
Argentina,CT TUCUMAN,ARG0000342,438,-34.8386,-65.166,Gas,YPF ENERGIA ELECTRICA S.A.,Ministerio de Energia y Minas
Argentina,CT VENADO TUERTO,ARG0000316,19.2,-34.8386,-61.9564,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,CT VIALE,ARG0000143,10,-34.8386,-60.0106,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT VILLA ANGELA,ARG0000061,15,-34.8386,-60.7094,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CT VILLA REGINA,ARG0000261,5,-34.8386,-67.0881,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energia y Minas
Argentina,CUESTA DEL VIENTO,ARG0000297,10.55,-34.8386,-69.0667,Hydro,EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO,Ministerio de Energia y Minas
Argentina,DEAN FUNES,ARG0000088,70.12,-34.8386,-64.2059,Gas,EPEC,Ministerio de Energia y Minas
Argentina,DIQUE,ARG0000157,68.44,-34.8386,-57.933,Gas,CENTRAL DIQUE SA,Ministerio de Energia y Minas
Argentina,DOCK SUD,ARG0000158,872.3,-34.8386,-58.342,Gas,CT DOCK SUD SA,Ministerio de Energia y Minas
Argentina,EL CADILLAL,ARG0000338,14,-34.8386,-65.1929,Hydro,H. TUCUMAN SA,Ministerio de Energia y Minas
Argentina,EL CARRIZAL,ARG0000196,17,-34.8386,-68.7199,Hydro,CEMPPSA - HIDROCUYO SA,Ministerio de Energia y Minas
Argentina,EL CHOCON,ARG0000255,1200,-34.8386,-68.7483,Hydro,H. EL CHOCON SA,Ministerio de Energia y Minas
Argentina,EL TIGRE,ARG0000211,14.4,-34.8386,-68.6136,Hydro,HIDISA,Ministerio de Energia y Minas
Argentina,EL TUNAL,ARG0000276,11,-34.8386,-64.4762,Hydro,AES ARGENTINA GENERACION S.A.,Ministerio de Energia y Minas
Argentina,EMBALSE,ARG0000112,648,-34.8386,-64.4422,Nuclear,NASA,Ministerio de Energia y Minas
Argentina,ESCABA,ARG0000339,24,-34.8386,-65.7633,Hydro,H. TUCUMAN SA,Ministerio de Energia y Minas
Argentina,ESQUINA,ARG0000119,2.215,-34.8386,-59.5321,Oil,DPEC,Ministerio de Energia y Minas
Argentina,EX CENTRAL BUENOS AIRES,ARG0000047,321,-34.8386,-58.3382,Gas,ENDESA COSTANERA,Ministerio de Energia y Minas
Argentina,FILO MORADO,ARG0000240,67.5,-34.8386,-69.652,Gas,CT FILO MORADO,Ministerio de Energia y Minas
Argentina,FITZ SIMON,ARG0000089,10.8,-34.8386,-64.4207,Hydro,EPEC,Ministerio de Energia y Minas
Argentina,FLORENTINO AMEGHINO,ARG0000079,60,-34.8386,-66.4815,Hydro,H. AMEGHINO SA,Ministerio de Energia y Minas
Argentina,FUTALEUFU,ARG0000080,472,-34.8386,-71.63,Hydro,H. FUTALEUFU SA,Ministerio de Energia y Minas
Argentina,GENERACION FRIAS SA,ARG0000329,60,-34.8386,-65.1228,Gas,GENERACIÓN FRÍAS SA,Ministerio de Energia y Minas
Argentina,GENERAL ACHA,ARG0000182,1.8,-34.8386,-64.716,Wind,COOPERATIVA,Ministerio de Energia y Minas
Argentina,GENERAL LEVALLE,ARG0000090,72.78,-34.8386,-63.9217,Gas,EPEC,Ministerio de Energia y Minas
Argentina,GENERAL SAN MARTIN,ARG0000208,6,-34.8386,-68.9219,Hydro,GEMSA - HIDROCUYO SA,Ministerio de Energia y Minas
Argentina,GOYA,ARG0000121,1.33,-34.8386,-59.2277,Oil,DPEC,Ministerio de Energia y Minas
Argentina,GOYA ELECTROPATAGONIA SA,ARG0000137,17.3,-34.8386,-59.2277,Gas,ELECTROPATAGONIA SA,Ministerio de Energia y Minas
Argentina,GUILLERMO CESPEDES,ARG0000269,5.2,-34.8386,-65.6817,Hydro,DPA RIO NEGRO,Ministerio de Energia y Minas
Argentina,H. PICHI PICUN LEUFU,ARG0000272,285,-34.8386,-69.9918,Hydro,PETROBRAS ENERGIA,Ministerio de Energia y Minas
Argentina,ISLA VERDE,ARG0000091,3.115,-34.8386,-62.3946,Oil,EPEC,Ministerio de Energia y Minas
Argentina,ITA IBATE,ARG0000123,1.052,-34.8386,-57.3341,Oil,DPEC,Ministerio de Energia y Minas
Argentina,ITUZAINGO,ARG0000124,1.33,-34.8386,-56.6726,Oil,DPEC,Ministerio de Energia y Minas
Argentina,JULIAN  ROMERO,ARG0000270,6.2,-34.8386,-68.038,Hydro,DPA RIO NEGRO,Ministerio de Energia y Minas
Argentina,LA CRUZ,ARG0000125,1.33,-34.8386,-56.6394,Oil,DPEC,Ministerio de Energia y Minas
Argentina,LA PLATA COGENERACION,ARG0000164,128,-34.8386,-57.9206,Gas,LA PLATA COGENERACION,Ministerio de Energia y Minas
Argentina,LA RIOJA,ARG0000188,42,-34.8386,-66.8325,Oil,GENERACION RIOJANA SA,Ministerio de Energia y Minas
Argentina,LA TABLADA,ARG0000222,22.15,-34.8386,-55.9097,Gas,EMSA,Ministerio de Energia y Minas
Argentina,LA VIÑA,ARG0000094,16,-34.8386,-65.0349,Hydro,EPEC,Ministerio de Energia y Minas
Argentina,LAS MADERAS,ARG0000169,30,-34.8386,-65.2203,Hydro,HIDROELECTRICA LAS MADERAS,Ministerio de Energia y Minas
Argentina,LOS CORONELES EX 25  DE MAYO,ARG0000209,6.6,-34.8386,-68.5285,Hydro,GEMSA - HIDROCUYO SA,Ministerio de Energia y Minas
Argentina,LOS MOLINOS I,ARG0000096,59.04,-34.8386,-64.4452,Hydro,EPEC,Ministerio de Energia y Minas
Argentina,LOS MOLINOS II,ARG0000097,4.5,-34.8386,-64.4452,Hydro,EPEC,Ministerio de Energia y Minas
Argentina,LOS QUIROGA,ARG0000331,2.5,-34.8386,-64.3618,Hydro,H. RIO HONDO SA,Ministerio de Energia y Minas
Argentina,LOS REYUNOS,ARG0000212,224,-34.8386,-68.6383,Hydro,HIDISA,Ministerio de Energia y Minas
Argentina,LUJAN DE CUYO,ARG0000198,549.76,-34.8386,-68.981,Gas,CT MENDOZA SA,Ministerio de Energia y Minas
Argentina,MAR DE AJO,ARG0000006,34,-34.8386,-63.1977,Gas,CENTRALES DE LA COSTA ATLANTICA SA,Ministerio de Energia y Minas
Argentina,MAR DEL PLATA 9 DE JULIO,ARG0000007,201.3,-34.8386,-57.546,Gas,CENTRALES DE LA COSTA ATLANTICA SA,Ministerio de Energia y Minas
Argentina,MAYOR BURATOVICH,ARG0000015,2.02,-34.8386,-62.6497,Wind,COOPERATIVAS,Ministerio de Energia y Minas
Argentina,MBURUCUYA,ARG0000128,1.035,-34.8386,-58.2285,Oil,DPEC,Ministerio de Energia y Minas
Argentina,MERCEDES,ARG0000129,2.308,-34.8386,-58.0793,Oil,DPEC,Ministerio de Energia y Minas
Argentina,MODESTO MARANZANA,ARG0000111,250,-34.8386,-64.3656,Gas,GENERACION MEDITERRANEA SA,Ministerio de Energia y Minas
Argentina,NECOCHEA,ARG0000008,206,-34.8386,-58.7108,Coal,CENTRALES DE LA COSTA ATLANTICA SA,Ministerio de Energia y Minas
Argentina,NIHUIL I,ARG0000214,74.24,-34.8386,-68.6237,Hydro,HINISA,Ministerio de Energia y Minas
Argentina,NIHUIL II,ARG0000215,133.12,-34.8386,-68.6177,Hydro,HINISA,Ministerio de Energia y Minas
Argentina,NIHUIL III,ARG0000216,52,-34.8386,-68.576,Hydro,HINISA,Ministerio de Energia y Minas
Argentina,NIHUIL IV,ARG0000213,22.4,-34.8386,-68.5168,Hydro,HIDRONIHUIL SA - LIHUEN SA,Ministerio de Energia y Minas
Argentina,NUEVA ESPERANZA,ARG0000323,3.38,-34.8386,-64.2477,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energia y Minas
Argentina,NUEVO PUERTO,ARG0000044,1217.7,-34.8386,-58.3835,Gas,CT PUERTO SA,Ministerio de Energia y Minas
Argentina,OBERA TG Nº21 FIAT ,ARG0000223,17.2,-34.8386,-55.1245,Gas,EMSA,Ministerio de Energia y Minas
Argentina,ORENSE,ARG0000016,1.72,-34.8386,-59.7804,Oil,COOPERATIVAS,Ministerio de Energia y Minas
Argentina,PARANA,ARG0000001,845.26,-34.8386,-60.1718,Other,AES ARGENTINA GENERACION S.A.,Ministerio de Energia y Minas
Argentina,PARQUE EOLICO ARAUCO SAPEM I,ARG0000192,25.2,-34.8386,-66.7524,Wind,PARQUE EOLICO ARAUCO S.A.,Ministerio de Energia y Minas
Argentina,PARQUE EOLICO ARAUCO SAPEM II,ARG0000193,25.2,-34.8386,-66.7524,Wind,PARQUE EOLICO ARAUCO S.A.,Ministerio de Energia y Minas
Argentina,PARQUE EOLICO DIADEMA,ARG0000081,6.3,-34.8386,-67.6953,Wind,HYCHICO SA,Ministerio de Energia y Minas
Argentina,PARQUE EOLICO EL TORDILLO,ARG0000082,3,-34.8386,-67.9081,Wind,VIENTOS DE LA PATAGONIA I.S.A./ENARSA,Ministerio de Energia y Minas
Argentina,PARQUE EOLICO LOMA BLANCA IV ENARSA,ARG0000075,50,-34.8386,-65.2298,Wind,ENARSA,Ministerio de Energia y Minas
Argentina,PARQUE EOLICO RAWSON I ENARSA,ARG0000076,48.6,-34.8386,-65.1734,Wind,ENARSA,Ministerio de Energia y Minas
Argentina,PARQUE EOLICO RAWSON II ENARSA,ARG0000077,28.8,-34.8386,-65.1734,Wind,ENARSA,Ministerio de Energia y Minas
Argentina,PASO DE LOS LIBRES,ARG0000132,2.135,-34.8386,-57.0933,Oil,DPEC,Ministerio de Energia y Minas
Argentina,PATAGONIA,ARG0000078,123.7,-34.8386,-67.5145,Gas,ENERGIA DEL SUR SA,Ministerio de Energia y Minas
Argentina,PERUGORRIA,ARG0000133,1.11,-34.8386,-58.6077,Oil,DPEC,Ministerio de Energia y Minas
Argentina,PICO TRUNCADO - JORGE ROMANUTTI,ARG0000305,2.4,-34.8386,-67.9808,Wind,MUNICIPAL,Ministerio de Energia y Minas
